Datum,Checksum,Aktualnost,Chybi_pocet,Zmena_link_pocet,Ostranit_pocet,Celk_zmen
2020-09-01 00:00:00,51f1eed44c4d2899238755decdf09904,86,0,0,0,NULL
2020-09-01 19:01:00,51f1eed44c4d2899238755decdf09904,84,0,0,0,NULL
2020-09-02 00:04:00,51f1eed44c4d2899238755decdf09904,85,0,0,0,NULL
2020-09-02 00:46:00,NULL,85,0,0,0,NULL
2020-09-02 01:12:00,NULL,92,0,0,0,NULL
2020-09-02 02:14:00,NULL,96,0,0,0,NULL
2020-09-02 02:18:00,NULL,100,0,0,0,NULL
2020-09-05 22:08:00,NULL,93,0,0,0,NULL
2020-09-05 22:24:00,NULL,90,0,0,0,NULL
2020-09-09 15:54:00,NULL,91,0,0,0,NULL
2020-09-10 02:36:00,b21196451f2c086b46fbda49b875e23a,91,3,0,0,3
2020-09-10 02:57:00,d07cff59b786708c92cd5a8bfc327d9d,94,2,0,0,2
2020-09-10 02:59:00,NULL,94,0,0,0,NULL
2020-09-10 03:33:00,445486dc340ca17e966bccd89b47ffc9,97,1,0,0,1
2020-09-10 13:18:00,d2a7c73b07887e0d24a9404271d3bc1b,96,1,0,0,1
2020-09-10 15:12:00,14a38a8a69eb032688e264ba97edc223,94,2,0,0,2
2020-09-10 22:31:00,bc5ea4c8a512f8cc29c4ad007e230157,97,1,0,0,1
2020-09-11 00:16:00,979e17759632d518ddcb2e37afce230a,100,0,0,0,0
2020-09-11 14:13:00,f752a67c5e7b273ecaf33befa605cafb,97,0,1,0,1
2020-09-11 16:30:00,33fc94d02ee510c45789dc4742771ca6,94,1,1,0,2
2020-09-11 16:43:00,03237fc681b4915be7ddc3485938b4c6,85,1,1,3,5
2020-09-11 21:09:00,d41aabdabefb733298c44a5f869fc1e4,77,3,1,4,8
2020-09-11 22:25:00,3ee8f3ef62fa76c649ab38fb4b6f5226,80,2,1,4,7
2020-09-11 22:27:00,f9651f649647907b695eee444cf187da,80,2,1,4,7
2020-09-11 22:45:00,047b147e59cda165db2cacf4aabfdd07,82,2,1,3,6
2020-09-12 16:27:00,e3f67f63f157649f4499b817e41455ac,85,2,0,3,5
2020-09-12 16:40:00,6e25d3c07ae0075deff8c1bdf87c7610,87,2,0,2,4
2020-09-12 16:42:00,f42ec358866a426f44b6ba77ccb11333,90,2,0,1,3
